Progress,Duration (in seconds),consent,gender,gender_3_TEXT,ethnicity,ethnicity_10_TEXT,age,attention_check_rec,attention_check,tribe_preference,choleric_definition,comments,condition,condition_1-tribe_a-positive_trait_1,condition_1-tribe_a-positive_trait_2,condition_1-tribe_a-positive_trait_3,condition_1-tribe_a-positive_trait_4,condition_1-tribe_a-positive_trait_5,condition_1-tribe_a-positive_trait_6,condition_1-tribe_a-negative_trait_1,condition_1-tribe_a-negative_trait_2,condition_1-tribe_a-negative_trait_3,condition_1-tribe_a-negative_trait_4,condition_1-tribe_a-negative_trait_5,condition_1-tribe_a-negative_trait_6,condition_1-tribe_b-positive_trait_1,condition_1-tribe_b-positive_trait_2,condition_1-tribe_b-positive_trait_3,condition_1-tribe_b-positive_trait_4,condition_1-tribe_b-positive_trait_5,condition_1-tribe_b-positive_trait_6,condition_1-tribe_b-negative_trait_1,condition_1-tribe_b-negative_trait_2,condition_1-tribe_b-negative_trait_3,condition_1-tribe_b-negative_trait_4,condition_1-tribe_b-negative_trait_5,condition_1-tribe_b-negative_trait_6,condition_2-tribe_a-positive_trait_1,condition_2-tribe_a-positive_trait_2,condition_2-tribe_a-positive_trait_3,condition_2-tribe_a-positive_trait_4,condition_2-tribe_a-positive_trait_5,condition_2-tribe_a-positive_trait_6,condition_2-tribe_a-negative_trait_1,condition_2-tribe_a-negative_trait_2,condition_2-tribe_a-negative_trait_3,condition_2-tribe_a-negative_trait_4,condition_2-tribe_a-negative_trait_5,condition_2-tribe_a-negative_trait_6,condition_2-tribe_b-positive_trait_1,condition_2-tribe_b-positive_trait_2,condition_2-tribe_b-positive_trait_3,condition_2-tribe_b-positive_trait_4,condition_2-tribe_b-positive_trait_5,condition_2-tribe_b-positive_trait_6,condition_2-tribe_b-negative_trait_1,condition_2-tribe_b-negative_trait_2,condition_2-tribe_b-negative_trait_3,condition_2-tribe_b-negative_trait_4,condition_2-tribe_b-negative_trait_5,condition_2-tribe_b-negative_trait_6,condition_3-tribe_b-positive_trait_1,condition_3-tribe_b-positive_trait_2,condition_3-tribe_b-positive_trait_3,condition_3-tribe_b-positive_trait_4,condition_3-tribe_b-positive_trait_5,condition_3-tribe_b-positive_trait_6,condition_3-tribe_b-negative_trait_1,condition_3-tribe_b-negative_trait_2,condition_3-tribe_b-negative_trait_3,condition_3-tribe_b-negative_trait_4,condition_3-tribe_b-negative_trait_5,condition_3-tribe_b-negative_trait_6,condition_3-tribe_a-positive_trait_1,condition_3-tribe_a-positive_trait_2,condition_3-tribe_a-positive_trait_3,condition_3-tribe_a-positive_trait_4,condition_3-tribe_a-positive_trait_5,condition_3-tribe_a-positive_trait_6,condition_3-tribe_a-negative_trait_1,condition_3-tribe_a-negative_trait_2,condition_3-tribe_a-negative_trait_3,condition_3-tribe_a-negative_trait_4,condition_3-tribe_a-negative_trait_5,condition_3-tribe_a-negative_trait_6,condition_4-tribe_b-positive_trait_1,condition_4-tribe_b-positive_trait_2,condition_4-tribe_b-positive_trait_3,condition_4-tribe_b-positive_trait_4,condition_4-tribe_b-positive_trait_5,condition_4-tribe_b-positive_trait_6,condition_4-tribe_b-negative_trait_1,condition_4-tribe_b-negative_trait_2,condition_4-tribe_b-negative_trait_3,condition_4-tribe_b-negative_trait_4,condition_4-tribe_b-negative_trait_5,condition_4-tribe_b-negative_trait_6,condition_4-tribe_a-positive_trait_1,condition_4-tribe_a-positive_trait_2,condition_4-tribe_a-positive_trait_3,condition_4-tribe_a-positive_trait_4,condition_4-tribe_a-positive_trait_5,condition_4-tribe_a-positive_trait_6,condition_4-tribe_a-negative_trait_1,condition_4-tribe_a-negative_trait_2,condition_4-tribe_a-negative_trait_3,condition_4-tribe_a-negative_trait_4,condition_4-tribe_a-negative_trait_5,condition_4-tribe_a-negative_trait_6
100,190,1,2.0,,5.0,,38.0,1.0,pilut,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,Caring,,Resentful,,,,Withdrawn,Egoistic,Tolerant,,,Relaxed,,Trustworthy,Resentful,,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,194,1,2.0,,5.0,,28.0,1.0,pilut,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,Caring,,Resentful,,,Choleric,,Egoistic,,,Funny,Relaxed,,Trustworthy,Resentful,,,Choleric,,Egoistic
100,378,1,2.0,,5.0,,18.0,1.0,pilut,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,Caring,,,Dumb,Faithless,,,Egoistic,,,Funny,Relaxed,,Trustworthy,,Dumb,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,192,1,2.0,,5.0,,41.0,1.0,pilut,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,Caring,,,,Faithless,Choleric,,Egoistic,Tolerant,,Funny,,Caring,,Resentful,Dumb,,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
100,354,1,2.0,,4.0,,21.0,1.0,pilut,0.0,2.0,,1.0,Tolerant,Likeable,,,,Trustworthy,,Dumb,Faithless,,Withdrawn,,Tolerant,Likeable,,,,Trustworthy,Resentful,,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,152,1,2.0,,5.0,,22.0,1.0,pilut,0.0,2.0,,1.0,Tolerant,Likeable,,,,Trustworthy,Resentful,,,,Withdrawn,Egoistic,Tolerant,Likeable,,,,Trustworthy,,Dumb,Faithless,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,255,1,1.0,,4.0,,44.0,1.0,pilut,0.0,1.0,,1.0,Tolerant,,,Relaxed,Caring,,,Dumb,,Choleric,Withdrawn,,Tolerant,,,Relaxed,Caring,,Resentful,,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,161,1,2.0,,5.0,,27.0,1.0,pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,Relaxed,,Trustworthy,Resentful,Dumb,,Choleric,,,Tolerant,,Funny,,Caring,,Resentful,Dumb,,Choleric,,
100,217,1,2.0,,5.0,,20.0,1.0,pilut,0.0,1.0,,1.0,,Likeable,Funny,Relaxed,,,,,Faithless,,Withdrawn,Egoistic,,Likeable,Funny,Relaxed,,,Resentful,Dumb,,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,124,1,2.0,,5.0,,18.0,1.0,pilut,0.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,Relaxed,,,Resentful,Dumb,,,Withdrawn,,Tolerant,,,,Caring,Trustworthy,Resentful,Dumb,,,Withdrawn,
100,484,1,2.0,,5.0,,29.0,1.0,pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,,Caring,Trustworthy,,,Faithless,Choleric,,Egoistic,,Likeable,Funny,Relaxed,,,,,Faithless,Choleric,,Egoistic
100,227,1,2.0,,5.0,,37.0,1.0,pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,Relaxed,,Trustworthy,,,Faithless,Choleric,,Egoistic,,Likeable,Funny,,Caring,,,,Faithless,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,370,1,2.0,,5.0,,36.0,1.0,pilut,0.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,Caring,,,Dumb,Faithless,,,Egoistic,Tolerant,,Funny,,Caring,,Resentful,,,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
100,193,1,1.0,,4.0,,32.0,1.0,Pilut,0.0,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,,Caring,Trustworthy,,Dumb,Faithless,,Withdrawn,,,Likeable,Funny,Relaxed,,,,Dumb,Faithless,,Withdrawn,
100,193,1,2.0,,5.0,,27.0,1.0,pilut,0.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,,Trustworthy,,,Faithless,,Withdrawn,Egoistic,Tolerant,Likeable,,,,Trustworthy,Resentful,Dumb,,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,
100,245,1,1.0,,8.0,,37.0,1.0,pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,Relaxed,,,,Dumb,Faithless,,,Egoistic,,Likeable,,,Caring,Trustworthy,,Dumb,Faithless,,,Egoistic
100,491,1,2.0,,4.0,,34.0,1.0,Pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,,Trustworthy,,,Faithless,Choleric,Withdrawn,,,,Funny,Relaxed,Caring,,,,Faithless,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,329,1,1.0,,4.0,,25.0,1.0,pilut,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,Caring,,Resentful,Dumb,,,Withdrawn,,,Likeable,,Relaxed,,Trustworthy,Resentful,Dumb,,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,88,1,2.0,,5.0,,20.0,1.0,Pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,Caring,,,Dumb,,,Withdrawn,Egoistic,,Likeable,,Relaxed,,Trustworthy,,Dumb,,,Withdrawn,Egoistic
100,184,1,2.0,,5.0,,24.0,1.0,pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,Caring,,Resentful,,Faithless,Choleric,,,Tolerant,Likeable,,,Caring,,,Dumb,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,206,1,2.0,,5.0,,22.0,1.0,pilut,0.0,2.0,,1.0,Tolerant,,Funny,,Caring,,,Dumb,Faithless,,,Egoistic,Tolerant,,Funny,,Caring,,Resentful,,,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,208,1,1.0,,5.0,,30.0,1.0,pilut,0.0,1.0,,1.0,Tolerant,,Funny,,,Trustworthy,,Dumb,Faithless,,,Egoistic,Tolerant,,Funny,,,Trustworthy,Resentful,,,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,167,1,2.0,,4.0,,22.0,1.0,pilut,0.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,Relaxed,,Trustworthy,,Dumb,,Choleric,,Egoistic,Tolerant,,,Relaxed,,Trustworthy,Resentful,,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
100,223,1,2.0,,4.0,,39.0,1.0,Pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,Caring,,,Dumb,,Choleric,Withdrawn,,Tolerant,Likeable,,,Caring,,Resentful,,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,246,1,1.0,,4.0,,30.0,1.0,Pilut,0.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,,Caring,Trustworthy,,,Faithless,Choleric,Withdrawn,,,Likeable,Funny,Relaxed,,,,,Faithless,Choleric,Withdrawn,
100,262,1,2.0,,4.0,,20.0,1.0,pilut,0.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,Caring,,,Dumb,Faithless,,Withdrawn,,,,Funny,Relaxed,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,303,1,2.0,,5.0,,27.0,1.0,pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,Caring,,,Dumb,Faithless,,Withdrawn,,Tolerant,,,Relaxed,,Trustworthy,,Dumb,Faithless,,Withdrawn,
100,147,1,2.0,,5.0,,22.0,1.0,pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,,Trustworthy,,Dumb,Faithless,Choleric,,,,,Funny,Relaxed,Caring,,,Dumb,Faithless,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,235,1,2.0,,5.0,,27.0,1.0,pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,Relaxed,,,Resentful,,,Choleric,Withdrawn,,Tolerant,Likeable,,Relaxed,,,,Dumb,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,173,1,1.0,,7.0,,18.0,1.0,Pilut,1.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,Relaxed,Caring,,,Dumb,Faithless,Choleric,,,,Likeable,,Relaxed,Caring,,Resentful,,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,322,1,2.0,,6.0,,27.0,1.0,pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxed,Caring,Trustworthy,Resentful,Dumb,,,Withdrawn,,Tolerant,Likeable,Funny,,,,Resentful,Dumb,,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,167,1,1.0,,4.0,,29.0,1.0,pilut,0.0,1.0,,1.0,,,,Relaxed,Caring,Trustworthy,Resentful,,Faithless,,Withdrawn,,,,,Relaxed,Caring,Trustworthy,,Dumb,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,400,1,2.0,,5.0,,19.0,1.0,pilut,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,Relaxed,,,Resentful,,,Choleric,,Egoistic,Tolerant,,,,Caring,Trustworthy,Resentful,,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,171,1,1.0,,5.0,,20.0,1.0,pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,Caring,,,Dumb,,Choleric,Withdrawn,,,,Funny,Relaxed,,Trustworthy,,Dumb,,Choleric,Withdrawn,
100,247,1,1.0,,4.0,,73.0,1.0,pilut,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,Caring,,Resentful,,Faithless,,,Egoistic,Tolerant,,,Relaxed,,Trustworthy,Resentful,,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,243,1,2.0,,5.0,,29.0,1.0,pilut,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,,Trustworthy,Resentful,Dumb,,,,Egoistic,Tolerant,,Funny,,,Trustworthy,,,Faithless,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
100,200,1,1.0,,8.0,,19.0,1.0,pilut,0.0,1.0,,1.0,,,Funny,Relaxed,Caring,,,Dumb,,Choleric,,Egoistic,,,Funny,Relaxed,Caring,,Resentful,,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,289,1,1.0,,5.0,,21.0,1.0,pilut,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,Relaxed,,Trustworthy,Resentful,,,Choleric,,Egoistic,,Likeable,,Relaxed,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
100,348,1,1.0,,4.0,,30.0,1.0,pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,Relaxed,Caring,,,,Faithless,,Withdrawn,Egoistic,,,Funny,Relaxed,Caring,,Resentful,Dumb,,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,
100,388,1,1.0,,4.0,,37.0,1.0,pilut,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,Relaxed,Caring,,Resentful,Dumb,,,Withdrawn,,Tolerant,Likeable,,,,Trustworthy,Resentful,Dumb,,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,115,1,1.0,,7.0,,40.0,1.0,pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,,Caring,,Resentful,,,,Withdrawn,Egoistic,Tolerant,,,Relaxed,,Trustworthy,Resentful,,,,Withdrawn,Egoistic
100,170,1,2.0,,4.0,,41.0,1.0,pilut,1.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,Caring,,Resentful,,,,Withdrawn,Egoistic,,Likeable,,Relaxed,,Trustworthy,Resentful,,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,213,1,1.0,,4.0,,44.0,1.0,Pilut ,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxed,Caring,Trustworthy,Resentful,,Faithless,Choleric,,,Tolerant,Likeable,Funny,,,,Resentful,,Faithless,Choleric,,
100,173,1,1.0,,5.0,,32.0,1.0,Pilut,0.0,1.0,,1.0,,Likeable,Funny,Relaxed,,,,Dumb,Faithless,,,Egoistic,,Likeable,Funny,Relaxed,,,Resentful,,,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,134,1,2.0,,5.0,,18.0,1.0,pilut,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,Relaxed,,Trustworthy,Resentful,,,Choleric,,Egoistic,Tolerant,Likeable,,,Caring,,Resentful,,,Choleric,,Egoistic
100,163,1,1.0,,7.0,,25.0,1.0,Pilut,0.0,2.0,,1.0,Tolerant,,Funny,Relaxed,,,Resentful,,Faithless,,Withdrawn,,Tolerant,,Funny,Relaxed,,,,Dumb,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,134,1,2.0,,4.0,,20.0,1.0,pilut,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,Relaxed,,,Resentful,,Faithless,,,Egoistic,Tolerant,Likeable,,Relaxed,,,,Dumb,,Choleric,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,
100,315,1,2.0,,5.0,,23.0,1.0,pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,,,Caring,Trustworthy,Resentful,Dumb,Faithless,,,,Tolerant,,Funny,Relaxed,,,Resentful,Dumb,Faithless,,,
100,167,1,1.0,,5.0,,19.0,1.0,pilut,0.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,,Trustworthy,Resentful,,,Choleric,,Egoistic,,Likeable,,Relaxed,Caring,,Resentful,,,Choleric,,Egoistic
100,188,1,2.0,,5.0,,34.0,1.0,pilut,0.0,1.0,,1.0,Tolerant,,,,Caring,Trustworthy,Resentful,,Faithless,,Withdrawn,,Tolerant,,,,Caring,Trustworthy,,Dumb,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,198,1,2.0,,5.0,,27.0,1.0,pilut,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,Funny,,,,Resentful,,,Choleric,Withdrawn,,Tolerant,Likeable,Funny,,,,,Dumb,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,267,1,2.0,,5.0,,26.0,1.0,pilut,1.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,,Funny,Relaxed,Caring,,,Dumb,Faithless,,Withdrawn,
100,261,1,2.0,,9.0,,19.0,1.0,pilut,0.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,Relaxed,Caring,,Resentful,,,Choleric,,Egoistic,Tolerant,Likeable,,,,Trustworthy,Resentful,,,Choleric,,Egoistic
100,130,1,2.0,,4.0,,29.0,1.0,pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,,,Trustworthy,,Dumb,,Choleric,,Egoistic,,Likeable,,Relaxed,Caring,,,Dumb,,Choleric,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,293,1,2.0,,5.0,,32.0,1.0,pilut,0.0,1.0,,1.0,,Likeable,,,Caring,Trustworthy,Resentful,,,Choleric,,Egoistic,,Likeable,,,Caring,Trustworthy,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,280,1,1.0,,9.0,,20.0,1.0,pilut,0.0,2.0,,1.0,Tolerant,Likeable,,,Caring,,,Dumb,,Choleric,Withdrawn,,Tolerant,Likeable,,,Caring,,Resentful,,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,193,1,2.0,,5.0,,38.0,1.0,pilut,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,Relaxed,,,,Dumb,,,Withdrawn,Egoistic,,,Funny,,Caring,Trustworthy,,Dumb,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,326,1,1.0,,5.0,,31.0,1.0,pilut,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,Funny,Relaxed,,,,Dumb,,Choleric,Withdrawn,,Tolerant,,Funny,Relaxed,,,Resentful,,Faithless,,,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,344,1,1.0,,4.0,,20.0,1.0,pilut,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,Likeable,,Relaxed,,,Resentful,,,,Withdrawn,Egoistic,Tolerant,Likeable,,Relaxed,,,,Dumb,Faithless,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,
100,301,1,2.0,,9.0,,41.0,1.0,Pilut,0.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Funny,,Caring,Trustworthy,Resentful,,Faithless,Choleric,,,,,Funny,,Caring,Trustworthy,,Dumb,,,Withdrawn,Egoistic,,,,,,,,,,,,,,,,,,,,,,,,
100,359,1,2.0,,5.0,,18.0,1.0,pilut,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,Relaxed,,Trustworthy,Resentful,,Faithless,,,Egoistic,,Likeable,Funny,,Caring,,Resentful,,Faithless,,,Egoistic
100,184,1,2.0,,4.0,,19.0,1.0,pilut,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,Tolerant,,,Relaxed,,Trustworthy,,Dumb,Faithless,,Withdrawn,,,Likeable,Funny,,Caring,,,Dumb,Faithless,,Withdrawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,351,1,2.0,,9.0,,34.0,1.0,Pilut ,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,Likeable,Funny,Relaxed,,,,Dumb,Faithless,Choleric,,,Tolerant,,,,Caring,Trustworthy,,Dumb,Faithless,Choleric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
